,A_CD,A_UD,A_AI,A_GC,A_FC,A_SF,A_DS
D_ImpA,0.7236,0.6494,0.7371,0.8823,0.4793,0.875,0
D_UnnA,0.0002,0,0.5494,0.8339,0.9522,0.2547,0.0407
D_MulA,0.0065,0.1443,0.3871,0.1213,0.237,0.0856,0.0252
D_UnuA,0,0.0003,0.2734,0.8441,0.732,0.2071,0.6411
D_DupA,0.0239,0.0002,0.543,0.8885,0.8258,0.3137,0.7221
D_DefE,0.0014,0.1151,0.1643,0.317,0.3789,0.1997,0.7017
D_UneE,0.0011,0.0061,0.0582,0.7275,0.7006,0.6314,0.0019
D_BroM,0.1096,0.0056,0.2854,0.8885,0.7007,0.1965,0.2967
D_InsM,0.0005,0.0499,0.2438,0.7402,0.9264,0.3361,0.0054
D_HubM,0,0.0614,0.0915,0.4288,0.5839,0.8413,0.7918
D_CycM,0.7002,0.0854,0.0008,0.3339,0.2326,0.1709,0
D_WidH,0.1848,0.203,0.2171,0.6441,0.4456,0.284,0.4346
D_DeeH,1,1,1,1,1,1,1
D_MulH,0.0021,0.0006,0.1774,0.5997,0.335,0.3621,1
D_CycH,0.8949,0.0896,0.0035,0.7283,0.1232,0.0529,0.3053
D_RebH,0,0.0016,0.3847,0.8652,0.824,0.2307,0.2139
D_UnfH,0.4496,0.4923,0.0029,0.4303,0.5618,0.0129,0.9662
D_MisH,0.5233,0.2454,0.0377,0.8371,0.1752,0.0297,0.0006
D_BroH,0.873,0.1709,0,0.8981,0.8517,0.0085,0.9658
